,bathroom,bedroom,city,facts,is_for_sale,latitude,list_price,longitude,property_type,size,sold_price,state,street_address,zipcode,zpid
0,2.0,4.0,Gilroy,"['Lot: 7,492 sqft', 'Multi Family', 'Built in 1985', 'All time views: 1,976', 'Last sold: Jan 2017 for $628,000', 'Last sale price/sqft: $321', 'Deck', 'Fenced Yard', 'Flooring: Carpet, Hardwood, Tile', 'Garden', 'Parking: Garage - Attached, 4 spaces', 'Sprinkler System']",False,37.000702,,-121.569078,Multi Family,1954,628000.0,CA,7081 Church St,95020,19856809
0,3.0,4.0,Gilroy,"['Single Family', 'All time views: 69', 'Last sold: Jan 2017 for $703,880', 'Last sale price/sqft: $283']",False,36.989961,,-121.583129,Single Family,2489,703880.0,CA,1260 Bonino Way,95020,2095681624
0,3.0,3.0,Gilroy,[],False,37.005255,,-121.594797,Single Family,2200,579000.0,CA,7510 Westwood Dr,95020,19858672
0,2.0,2.0,Gilroy,"['Baths: 1 full, 1 half', 'Condo', 'Built in 1980', '132 days on Zillow', 'Views since listing: 8,017', 'All time views: 8,077', '53 shoppers saved this home', 'HOA Fee: $189/mo', 'Heating: Forced air', 'Parking: Carport, 200 sqft garage', 'Last sold: Jan 2017 for $250,000', 'Price/sqft: $329', 'MLS #: ML81628104', 'Flooring: Carpet, Laminate']",True,37.012221,299000.0,-121.565438,Condo,908,,CA,7733 Chestnut St,95020,19864427
0,3.0,3.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 4,878 sqft', 'Single Family', 'Built in 2015', '4 days on Zillow', 'Views since listing: 1,644', 'All time views: 3,245', '3 shoppers saved this home', 'HOA Fee: $149/mo', 'Last sold: Jan 2017 for $635,000', 'Price/sqft: $634']",True,36.990852,1313000.0,-121.565292,Single Family,2071,,CA,64 Caspian Way,95020,2097023358
0,2.0,4.0,Gilroy,"['Lot: 1.99 acres', 'Single Family', 'Built in 1974', 'All time views: 3,576', 'Last sold: Jan 2017 for $865,000', 'Last sale price/sqft: $426']",False,37.010947,,-121.634399,Single Family,2032,865000.0,CA,3415 Rancho Vista Ct,95020,19860014
0,3.0,4.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 8,232 sqft', 'Single Family', 'Built in 1971', 'All time views: 14,930', 'Heating: Forced air', 'Last sold: Jan 2017 for $655,000', 'Last sale price/sqft: $277', 'Fireplace', 'Flooring: Carpet, Hardwood, Laminate', 'Garden', 'Parking: Garage - Attached, 506 sqft garage', 'Pool']",False,37.003563,,-121.582178,Single Family,2364,655000.0,CA,7421 Miller Ave,95020,19859115
0,3.0,4.0,Gilroy,[],False,37.004839,,-121.592707,Single Family,1717,530000.0,CA,1231 Hersman Dr,95020,19859205
0,2.5,4.0,Gilroy,"['Lot: 0.28 acres', 'Single Family', 'Built in 1977', 'All time views: 1,040', 'Last sold: Jan 2017 for $605,000', 'Last sale price/sqft: $294', 'Fireplace', 'Parking: 504 sqft garage']",False,36.99913,,-121.577558,Single Family,2059,605000.0,CA,7150 Harvard Pl,95020,112099372
0,0,5.0,Gilroy,[],False,37.052587,,-121.653709,,0,390000.0,CA,7 Soma Way,95020,2095694833
0,2.0,3.0,Gilroy,"['Baths: 1 full, 1 half', 'Lot: 3,920 sqft', 'Single Family', 'Built in 1972', 'All time views: 10,667', 'Last sold: Jan 2017 for $523,000', 'Last sale price/sqft: $443', 'Fireplace', 'Parking: Garage - Attached, 456 sqft garage']",False,37.023519,,-121.578768,Single Family,1181,523000.0,CA,8663 Lilly Ave,95020,19855588
0,4.0,4.0,Gilroy,[],False,37.034727,,-121.609277,Single Family,2843,785000.0,CA,9775 Coyote Moon Ln,95020,64903801
0,0,0.76,Gilroy,"['All time views: 6,646', 'Last sold: Jan 2017 for $320,000', 'Parking: None', 'View: City, Mountain']",False,37.021185,,-121.614541,,0,320000.0,CA,8735 Wild Iris Dr,95020,64461113
0,2.0,3.0,Gilroy,"['Lot: 6,490 sqft', 'Single Family', 'Built in 1983', 'All time views: 2,985', 'Cooling: None', 'Heating: Forced air', 'Last sold: Jan 2017 for $514,000', 'Last sale price/sqft: $454', 'Fireplace', 'Parking: Garage - Attached']",False,37.030215,,-121.580839,Single Family,1132,514000.0,CA,9120 Connell Ct,95020,19855909
0,4.0,4.0,Gilroy,"['Baths: 3 full, 1 half', 'Lot: 4,138 sqft', 'Single Family', 'Built in 2014', 'All time views: 2,668', 'HOA Fee: $60/mo', 'Last sold: Jan 2017 for $700,000', 'Last sale price/sqft: $253']",False,37.033558,,-121.588486,Single Family,2768,700000.0,CA,274 Windsong Way,95020,124746793
0,4.0,4.0,Gilroy,"['Baths: 3 full, 1 half', 'Single Family', 'All time views: 24', 'Last sold: Jan 2017 for $822,113', 'Last sale price/sqft: $250']",False,36.993031,,-121.582536,Single Family,3294,822113.0,CA,6691 Bogiala,95020,2095733836
0,2.0,3.0,Gilroy,"['Lot: 6,316 sqft', 'Single Family', 'Built in 1998', 'All time views: 5,370', 'Last sold: Jan 2017 for $680,000', 'Last sale price/sqft: $353', 'Parking: 462 sqft garage']",False,37.019999,,-121.596467,Single Family,1925,680000.0,CA,1070 Violet Way,95020,19856286
0,2.5,4.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 3,528 sqft', 'Single Family', 'Built in 2006', 'All time views: 6,259', 'Heating: Forced air', 'Last sold: Jan 2017 for $605,000', 'Last sale price/sqft: $314', 'Parking: 402 sqft garage']",False,37.022076,,-121.592361,Single Family,1926,605000.0,CA,8841 Morey Way,95020,69304051
0,4.0,4.0,Gilroy,"['Baths: 3 full, 1 half', 'Lot: 4,878 sqft', 'Single Family', 'Built in 2013', 'All time views: 1,836', 'HOA Fee: $60/mo', 'Last sold: Jan 2017 for $725,000', 'Last sale price/sqft: $262']",False,37.032508,,-121.589454,Single Family,2768,725000.0,CA,342 Fantail Way,95020,122247275
0,3.0,4.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 7,056 sqft', 'Single Family', 'Built in 1999', 'All time views: 3,340', 'Last sold: Jan 2017 for $725,000', 'Last sale price/sqft: $319', 'Fireplace', 'Parking: Garage - Attached', 'Pool']",False,37.022714,,-121.606824,Single Family,2274,725000.0,CA,1482 Partridge Dr,95020,19853922
0,3.0,5.0,Gilroy,"['Lot: 0.28 acres', 'Single Family', 'Built in 1978', 'All time views: 162', 'Last sold: Jan 2017 for $600,000', 'Last sale price/sqft: $232', 'Fireplace', 'Parking: 560 sqft garage', 'Pool']",False,36.998396,,-121.580454,Single Family,2590,600000.0,CA,885 Dearborn Pl,95020,19857940
0,3.0,4.0,Gilroy,"['Single Family', 'All time views: 35', 'Last sold: Jan 2017 for $709,008', 'Last sale price/sqft: $286']",False,37.014,,-121.5773,Single Family,2475,709008.0,CA,1220 Bonino,95020,2095841663
0,4.0,5.0,Gilroy,[],False,37.018567,,-121.58964,Single Family,3370,745000.0,CA,8531 Hickory Way,95020,63067018
0,3.0,4.0,Gilroy,"['Single Family', 'All time views: 65', 'Last sold: Dec 2016 for $884,885', 'Last sale price/sqft: $244']",False,36.98868,,-121.583945,Single Family,3632,884885.0,CA,6431 Tannat Lane,95020,2095752055
0,2.5,4.0,Gilroy,[],False,37.032931,,-121.587186,Single Family,2018,650000.0,CA,222 Robin Pl,95020,122246965
0,2.0,3.0,Gilroy,"['Lot: 4,181 sqft', 'Single Family', 'Built in 2005', 'All time views: 1,045', 'Last sold: Dec 2016 for $580,000', 'Last sale price/sqft: $358', 'Pool']",False,37.01134,,-121.584055,Single Family,1620,580000.0,CA,712 Tennyson Dr,95020,69299990
0,3.0,3.0,Gilroy,[],False,37.031302,,-121.581809,Single Family,1336,540000.0,CA,40 Farrell Ave,95020,19856006
0,4.0,4.0,Gilroy,"['Baths: 3 full, 1 half', 'Single Family', 'All time views: 47', 'Last sold: Dec 2016 for $931,880', 'Last sale price/sqft: $283']",False,36.992286,,-121.581766,Single Family,3294,931880.0,CA,6651 Lopez Way,95020,2095851268
0,2.0,3.0,Gilroy,[],False,37.007814,,-121.592985,Single Family,1580,535000.0,CA,7680 Santa Barbara Dr,95020,19858797
0,2.0,4.0,Gilroy,[],False,36.998694,,-121.576181,Single Family,2159,620000.0,CA,730 W 9th St,95020,19857900
0,3.0,4.0,Gilroy,"['Lot: 0.4 acres', 'Single Family', 'Built in 1996', 'All time views: 10,492', 'HOA Fee: $17/mo', 'Cooling: Central', 'Heating: Forced air', 'Last sold: Dec 2016 for $850,000', 'Last sale price/sqft: $289', 'Ceiling Fan', 'Double Pane/Storm Windows', 'Fireplace', 'Flooring: Carpet, Tile', 'Intercom', 'Jetted Tub', 'Lawn', 'Parking: Garage - Attached, 776 sqft garage', 'Patio', 'Security System', 'Sprinkler System', 'Unfinished basement', 'View: Mountain']",False,37.021445,,-121.621691,Single Family,2942,850000.0,CA,2366 Sunflower Cir,95020,19853487
0,3.0,4.0,Gilroy,"['Lot: 6,001 sqft', 'Single Family', 'Built in 1985', 'All time views: 8,063', 'Last sold: Dec 2016 for $669,000', 'Last sale price/sqft: $301', 'Barbecue', 'Deck', 'Fenced Yard', 'Flooring: Carpet, Laminate, Tile', 'Hot Tub/Spa', 'Lawn', 'Parking: Garage - Attached, 516 sqft garage', 'Pool', 'Sprinkler System', 'View: City']",False,37.019481,,-121.596413,Single Family,2221,669000.0,CA,8516 Emerson Ct,95020,19854533
0,3.0,3.0,Gilroy,"['Baths: 2 full, 1 half', 'Lot: 3,659 sqft', 'Single Family', 'Built in 2000', 'All time views: 2,350', 'HOA Fee: $60/mo', 'Last sold: Dec 2016 for $590,000', 'Last sale price/sqft: $313']",False,37.026219,,-121.582629,Single Family,1886,590000.0,CA,8968 Del Rio Cir,95020,51076067
0,2.5,4.0,Gilroy,[],False,37.001326,,-121.585425,Single Family,2078,650000.0,CA,7320 Chadwick St,95020,19859688
0,2.0,3.0,Gilroy,[],False,37.011636,,-121.600942,Single Family,1293,474000.0,CA,1553 Rosette Way,95020,61324074
0,5.0,5.0,Gilroy,"['Baths: 4 full, 1 half', 'Lot: 0.39 acres', 'Single Family', 'Built in 2001', 'All time views: 14,120', 'Cooling: Central', 'Heating: Forced air', 'Last sold: Dec 2016 for $1,068,000', 'Last sale price/sqft: $225', 'Flooring: Tile', 'Parking: Garage - Attached']",False,37.023289,,-121.619705,Single Family,4739,1068000.0,CA,2265 Stonecress St,95020,54773114
0,3.0,4.0,Gilroy,[],False,37.056591,,-121.568633,Single Family,3873,1525000.0,CA,1330 Rucker Ave,95020,64674814
